MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Rajakhera,Nadauli,04-03-2024,100000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Jagdishpur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Chandaur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Kotma,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Lehara,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Belaur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Barhampura,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Tatuar,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Tardih,Kokraha,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Siso,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Sara Mahamad,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Basdeopur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Shahbazpur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Khutwara,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Pradyut Bordoloi,NA - Setting up public non-conventional energy plants,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Town Nagaon,04-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Pradyut Bordoloi,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Majarati,04-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Pradyut Bordoloi,NA - Construction of community centers and community halls,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Town Nagaon,04-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Pradyut Bordoloi,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Barbheti,04-03-2024,300000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Kookara,04-03-2024,600000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Sepau 2,04-03-2024,100000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Bari,Norha,04-03-2024,600000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Mr Gopal Jee Thakur,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Dhaulpur,Dhaulpur (M) - Ward No.10,,,04-03-2024,150000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 07,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 29,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 10,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 07,,,04-03-2024,487000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Mania,Marha Bhau,04-03-2024,600000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Manoj Rajoria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Sakhwara,04-03-2024,700000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Cuttack Sadar,Kalapada,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shivkumar Chanabasappa Udasi,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Venkatapur,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Shri Abdul Khaleque ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Shri Abdul Khaleque ,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Neelapalle,03-03-2024,170000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
