trustus_project_id,mp_name,work,category,state,constituency,ida,city,ward,block,village,recommended_date,allocation_amount,ida_approval,status,house,source_row_number
MPLADS-000001,Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Rajakhera,Nadauli,,100000.0,Action Pending,Unsanctioned,Lok Sabha,2
MPLADS-000002,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Jagdishpur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,3
MPLADS-000003,Manoj Rajoria,NA - Construction of roads,,,,,,,,,,,,,,4
MPLADS-000004,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Chandaur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,5
MPLADS-000005,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Kotma,,487000.0,Action Pending,Unsanctioned,Lok Sabha,6
MPLADS-000006,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Lehara,,487000.0,Action Pending,Unsanctioned,Lok Sabha,7
MPLADS-000007,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Belaur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,8
MPLADS-000008,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,9
MPLADS-000009,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,10
MPLADS-000010,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Barhampura,,487000.0,Action Pending,Unsanctioned,Lok Sabha,11
MPLADS-000011,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Tatuar,,487000.0,Action Pending,Unsanctioned,Lok Sabha,12
MPLADS-000012,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,13
MPLADS-000013,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Tardih,Kokraha,,487000.0,Action Pending,Unsanctioned,Lok Sabha,14
MPLADS-000014,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Siso,,487000.0,Action Pending,Unsanctioned,Lok Sabha,15
MPLADS-000015,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Sara Mahamad,,487000.0,Action Pending,Unsanctioned,Lok Sabha,16
MPLADS-000016,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Basdeopur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,17
MPLADS-000017,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Shahbazpur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,18
MPLADS-000018,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Darbhanga,Khutwara,,487000.0,Action Pending,Unsanctioned,Lok Sabha,19
MPLADS-000019,Pradyut Bordoloi,NA - Setting up public non-conventional energy plants,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Town Nagaon,,500000.0,Action Pending,Unsanctioned,Lok Sabha,20
MPLADS-000020,Pradyut Bordoloi,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Majarati,,300000.0,Action Pending,Unsanctioned,Lok Sabha,21
MPLADS-000021,Pradyut Bordoloi,NA - Construction of community centers and community halls,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Town Nagaon,,500000.0,Action Pending,Unsanctioned,Lok Sabha,22
MPLADS-000022,Pradyut Bordoloi,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,,,Nagaon,Barbheti,,300000.0,Action Pending,Unsanctioned,Lok Sabha,23
MPLADS-000023,Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Kookara,,600000.0,Action Pending,Unsanctioned,Lok Sabha,24
MPLADS-000024,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,,,Manigachhi,Raghopur,,487000.0,Action Pending,Unsanctioned,Lok Sabha,25
MPLADS-000025,Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Sepau 2,,100000.0,Action Pending,Unsanctioned,Lok Sabha,26
MPLADS-000026,Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Bari,Norha,,600000.0,Action Pending,Unsanctioned,Lok Sabha,27
MPLADS-000027,Manoj Rajoria,NA - Construction of roads,,,,,,,,,,,,,,28
MPLADS-000028,Mr Gopal Jee Thakur,NA - Construction of roads,,,,,,,,,,,,,,29
MPLADS-000029,Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Dhaulpur,Dhaulpur (M) - Ward No.10,,,,150000.0,Action Pending,Unsanctioned,Lok Sabha,30
MPLADS-000030,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 07,,,,487000.0,Action Pending,Unsanctioned,Lok Sabha,31
MPLADS-000031,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 29,,,,487000.0,Action Pending,Unsanctioned,Lok Sabha,32
MPLADS-000032,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 10,,,,487000.0,Action Pending,Unsanctioned,Lok Sabha,33
MPLADS-000033,Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Benipur,Benipur (M) - Ward No. 07,,,,487000.0,Action Pending,Unsanctioned,Lok Sabha,34
MPLADS-000034,Manoj Rajoria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Mania,Marha Bhau,,600000.0,Action Pending,Unsanctioned,Lok Sabha,35
MPLADS-000035,Manoj Rajoria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,,,Sepau,Sakhwara,,700000.0,Action Pending,Unsanctioned,Lok Sabha,36
MPLADS-000036,Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Cuttack Sadar,Kalapada,,500000.0,Action Pending,Unsanctioned,Lok Sabha,37
MPLADS-000037,Shivkumar Chanabasappa Udasi,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Venkatapur,,500000.0,Action Pending,Unsanctioned,Lok Sabha,38
MPLADS-000038,Shri Abdul Khaleque ,NA - Construction of roads,,,,,,,,,,,,,,39
MPLADS-000039,Shri Abdul Khaleque ,NA - Construction of roads,,,,,,,,,,,,,,40
MPLADS-000040,Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Neelapalle,,170000.0,Action Pending,Unsanctioned,Lok Sabha,41
MPLADS-000041,Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Navalga,,170000.0,Action Pending,Unsanctioned,Lok Sabha,42
MPLADS-000042,Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Navandgi (Ct),,510000.0,Action Pending,Unsanctioned,Lok Sabha,43
MPLADS-000043,Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Basheerabad,Jalalpur,,510000.0,Action Pending,Unsanctioned,Lok Sabha,44
MPLADS-000044,Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,,35000.0,Action Pending,Unsanctioned,Lok Sabha,45
MPLADS-000045,Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kishannagar,Bankol,,200000.0,Action Pending,Unsanctioned,Lok Sabha,46
MPLADS-000046,Shri Bhartruhari Mahtab ,NA - Construction of roads,,,,,,,,,,,,,,47
MPLADS-000047,Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kandarpur,Nimeisapur,,300000.0,Action Pending,Unsanctioned,Lok Sabha,48
MPLADS-000048,Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kishannagar,Bankol,,120000.0,Action Pending,Unsanctioned,Lok Sabha,49
MPLADS-000049,Shri Bhartruhari Mahtab ,NA - Lighting of public spaces,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kishannagar,Radhanagar,,100000.0,Action Pending,Unsanctioned,Lok Sabha,50
MPLADS-000050,Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Badamba,Maniabandha,,300000.0,Action Pending,Unsanctioned,Lok Sabha,51
MPLADS-000051,Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Chasagurujanga,,300000.0,Action Pending,Unsanctioned,Lok Sabha,52
MPLADS-000052,Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Chasagurujanga,,500000.0,Action Pending,Unsanctioned,Lok Sabha,53
MPLADS-000053,Shri Mahesh Sahoo ,NA - Construction of New Building,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Khamar,,500000.0,Action Pending,Unsanctioned,Lok Sabha,54
MPLADS-000054,Shri Mahesh Sahoo ,NA - Construction of roads,,,,,,,,,,,,,,55
MPLADS-000055,Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Sankhamur,,300000.0,Action Pending,Unsanctioned,Lok Sabha,56
MPLADS-000056,Shri Mahesh Sahoo ,NA - Construction of community centers and community halls,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Pabitrapur,,400000.0,Action Pending,Unsanctioned,Lok Sabha,57
MPLADS-000057,Shri Mahesh Sahoo ,NA - Construction of community centers and community halls,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Palalahada,Batisuan,,400000.0,Action Pending,Unsanctioned,Lok Sabha,58
MPLADS-000058,Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Bhanipura,Sawar,,850000.0,Action Pending,Unsanctioned,Lok Sabha,59
MPLADS-000059,Rahul Kaswan,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Bhanipura,Rajasar Panwaran,,650000.0,Action Pending,Unsanctioned,Lok Sabha,60
MPLADS-000060,Shri Bhartruhari Mahtab ,NA - Construction of buildings for community cultural activities,Normal/Others,Odisha,CUTTACK,DISTRICT COLLECTOR CUTTACK_IDA,,,Kandarpur,Gatiroutpatana (Part) Dihasahi,,500000.0,Action Pending,Unsanctioned,Lok Sabha,61
MPLADS-000061,Shivkumar Chanabasappa Udasi,NA - Construction of bus-sheds or bus-stops,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Devagiri,,500000.0,Action Pending,Unsanctioned,Lok Sabha,62
MPLADS-000062,Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,,35000.0,Action Pending,Unsanctioned,Lok Sabha,63
MPLADS-000063,Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,,35000.0,Action Pending,Unsanctioned,Lok Sabha,64
MPLADS-000064,Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,,35000.0,Action Pending,Unsanctioned,Lok Sabha,65
MPLADS-000065,Shri Dilip Ghosh ,NA - Construction of rooms and halls in school and colleges,Normal/Others,West Bengal,MEDINIPUR,DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA,Medinipur,Medinipur (M) - Ward No.9,,,,1800000.0,Action Pending,Unsanctioned,Lok Sabha,66
MPLADS-000066,Shri Dilip Ghosh ,NA - Construction of rooms and halls in school and colleges,Normal/Others,West Bengal,MEDINIPUR,DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA,Kharagpur,Kharagpur (M) - Ward No.23,,,,952002.0,Action Pending,Unsanctioned,Lok Sabha,67
MPLADS-000067,Shivkumar Chanabasappa Udasi,NA - Construction of roads,,,,,,,,,,,,,,68
MPLADS-000068,Adhir Ranjan Chowdhury ,NA - Installing community drinking water plants,Normal/Others,West Bengal,BAHARAMPUR,DISTRICT MAGISTRATE MURSHIDABAD_IDA,Berhampore,Baharampur (M) - Ward No.22,,,,1085000.0,Action Pending,Unsanctioned,Lok Sabha,69
MPLADS-000069,Shivkumar Chanabasappa Udasi,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Savanur,Hiremugadur,,500000.0,Action Pending,Unsanctioned,Lok Sabha,70
MPLADS-000070,Shivkumar Chanabasappa Udasi,NA - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,Hirekerur,Hirekerur (TP) - Ward No.7,,,,200000.0,Action Pending,Unsanctioned,Lok Sabha,71
MPLADS-000071,Shri Mahesh Sahoo ,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Odisha,DHENKANAL,DISTRICT COLLECTORANGUL_IDA,,,Khamar,Raghunathpur,,500000.0,Action Pending,Unsanctioned,Lok Sabha,72
MPLADS-000072,Shivkumar Chanabasappa Udasi,NA - Construction of roads,,,,,,,,,,,,,,73
MPLADS-000073,Rahul Kaswan,NA - Improvement of electricity distribution infrastructure,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Churu,Gajsar,,185000.0,Action Pending,Unsanctioned,Lok Sabha,74
MPLADS-000074,Shivkumar Chanabasappa Udasi,NA - Construction of bus-sheds or bus-stops,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Devagiri Yellapur,,500000.0,Action Pending,Unsanctioned,Lok Sabha,75
MPLADS-000075,Shivkumar Chanabasappa Udasi,NA - Construction of bus-sheds or bus-stops,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Devagiri,,500000.0,Action Pending,Unsanctioned,Lok Sabha,76
MPLADS-000076,Gaddam Ranjith Reddy,NA - Lighting of public spaces,Normal/Others,Telangana,CHELVELLA,DISTRICT COLLECTOR VIKARABAD_IDA,,,Yelal,Bennur,,170000.0,Action Pending,Unsanctioned,Lok Sabha,77
MPLADS-000077,Rahul Kaswan,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Taranagar,Buchawas,,650000.0,Action Pending,Unsanctioned,Lok Sabha,78
MPLADS-000078,Dr Sukanta Majumdar ,NA - Street lights,Normal/Others,West Bengal,BALURGHAT,DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA,Balurghat,Baidyanathpara (OG) - Ward No.25,,,,35000.0,Action Pending,Unsanctioned,Lok Sabha,79
MPLADS-000079,Rahul Kaswan,NA - Construction of additional rooms and halls in the existing public and community building,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Sardarshahar,Patlisar Purohitan,,650000.0,Action Pending,Unsanctioned,Lok Sabha,80
MPLADS-000080,Rahul Kaswan,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Parihara,,1000000.0,Action Pending,Unsanctioned,Lok Sabha,81
MPLADS-000081,Shivkumar Chanabasappa Udasi,NA - Construction of rooms and halls in school and colleges,Normal/Others,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI_IDA,,,Haveri,Kallihal,,500000.0,Action Pending,Unsanctioned,Lok Sabha,82
